K_cover;solving time
14;0,001000
13;0,000000
12;0,001000
11;0,000000
10;0,000000
9;0,000000
8;0,305000
7;0,258000
6;0,187000
5;0,114000
4;0,057000
3;0,022000
2;0,006000
1;0,001000
