K;mean coeff of linearity
18;10,000000
17;5,000000
16;3,333333
15;2,500000
14;2,000000
13;1,666667
12;1,428571
11;1,250000
10;1,111111
9;1,000000
8;0,909091
7;324,250000
success; +
