K;mean coeff of linearity
38;31,000000
37;15,500000
36;10,333333
35;7,750000
34;6,200000
33;5,166667
32;4,428571
31;3,875000
30;3,444444
29;3,100000
28;2,909091
27;328,083333
26;40609,846154
success; -
