K;mean coeff of linearity
28;15,000000
27;7,500000
26;5,000000
25;3,750000
24;3,000000
23;2,500000
22;2,142857
21;1,875000
20;1,666667
19;1,500000
18;1,363636
17;1,250000
16;1,153846
15;1,071429
14;1,000000
13;0,937500
12;2,941176
success; +
