K;mean coeff of linearity
23;13,000000
22;6,500000
21;4,333333
20;3,250000
19;2,600000
18;2,166667
17;1,857143
16;1,625000
15;1,444444
14;1,300000
13;1,181818
12;1,083333
11;1,000000
10;1,000000
9;19,133333
success; +
