K;mean coeff of linearity
33;25,000000
32;12,500000
31;8,333333
30;6,250000
29;5,000000
28;4,166667
27;3,571429
26;3,125000
25;2,777778
24;2,500000
23;2,272727
22;1973,500000
success; -
