K;mean coeff of linearity
33;23,000000
32;11,500000
31;7,666667
30;5,750000
29;4,600000
28;3,833333
27;3,285714
26;2,875000
25;2,555556
24;2,300000
23;2,090909
22;1,916667
21;1,769231
20;3,714286
19;21,666667
18;143,750000
17;13655,352941
success; -
