K;mean coeff of linearity
28;21,000000
27;10,500000
26;7,000000
25;5,250000
24;4,200000
23;3,500000
22;3,000000
21;2,625000
20;2,333333
19;2,100000
18;49475,090909
17;9400124,250000
success; -
