K;mean coeff of linearity
38;23,000000
37;11,500000
36;7,666667
35;5,750000
34;4,600000
33;3,833333
32;3,285714
31;2,875000
30;2,555556
29;2,300000
28;2,090909
27;1,916667
26;1,769231
25;1,642857
24;1,533333
23;1,437500
22;1,352941
21;1,277778
success; -
