share of cover;solving time
 0-0.1;0,001000
 0.1-0.2;0,039000
 0.2-0.3;0,480000
 0.3-0.4;2,446000
 0.4-0.5;6,291000
 0.5-0.6;4,792000
 0.6-0.7;0,000500
 0.7-0.8;0,001000
 0.8-0.9;0,001000
 0.9-1;0,001000
