share of cover;solving time
 0-0.1;0,014500
 0.1-0.2;0,537000
 0.2-0.3;13,783667
 0.3-0.4;83,399000
 0.4-0.5;243,655000
 0.5-0.6;0,076000
 0.6-0.7;0,000000
 0.7-0.8;0,000500
 0.8-0.9;0,000333
 0.9-1;0,000000
