K_cover;solving time
14;0,000000
13;0,000000
12;0,000000
11;0,000000
10;0,001000
9;0,000000
8;0,260000
7;0,215000
6;0,157000
5;0,095000
4;0,047000
3;0,018000
2;0,006000
1;0,000000
