K_cover;solving time
19;0,000000
18;0,000000
17;0,000000
16;0,000000
15;0,000000
14;0,000000
13;0,000000
12;0,000000
11;0,000000
10;0,001000
9;5,909000
8;4,228000
7;2,623000
6;1,352000
5;0,560000
4;0,190000
3;0,049000
2;0,009000
1;0,001000
