K_cover;solving time
14;0,000000
13;0,000000
12;0,000000
11;0,000000
10;0,000000
9;0,000000
8;0,000000
7;0,000000
6;0,001000
5;0,073000
4;0,035000
3;0,014000
2;0,003000
1;0,001000
