K_cover;solving time
19;0,001000
18;0,001000
17;0,001000
16;0,001000
15;0,001000
14;0,012000
13;25,128000
12;24,679000
11;24,092000
10;21,406000
9;17,351000
8;12,877000
7;7,769000
6;4,292000
5;1,838000
4;0,631000
3;0,163000
2;0,031000
1;0,003000
