K_cover;solving time
14;0,000000
13;0,000000
12;0,000000
11;0,000000
10;0,653000
9;0,628000
8;0,569000
7;0,483000
6;0,374000
5;0,233000
4;0,117000
3;0,044000
2;0,012000
1;0,002000
