K_cover;solving time
24;0,002000
23;0,001000
22;0,001000
21;0,001000
20;0,001000
19;0,001000
18;0,007000
17;1033,983000
16;1021,151000
15;1014,949000
14;955,895000
13;860,479000
12;747,036000
11;592,419000
10;447,893000
9;271,733000
8;151,087000
7;66,743000
6;26,637000
5;8,907000
4;2,331000
3;0,462000
2;0,067000
1;0,007000
