K_cover;solving time
24;0,000000
23;0,000000
22;0,000000
21;0,001000
20;0,000000
19;0,000000
18;0,000000
17;0,001000
16;0,000000
15;0,000000
14;0,000000
13;0,001000
12;0,000000
11;0,001000
10;0,000000
9;0,000000
8;0,000000
7;0,003000
6;0,024000
5;1,199000
4;0,304000
3;0,059000
2;0,009000
1;0,001000
