K_cover;solving time
14;0,000000
13;0,000000
12;0,000000
11;0,000000
10;0,001000
9;0,000000
8;0,000000
7;0,000000
6;0,000000
5;0,000000
4;0,001000
3;0,007000
2;0,001000
1;0,000000
