K_cover;solving time
19;0,001000
18;0,000000
17;0,000000
16;0,000000
15;0,000000
14;0,000000
13;0,000000
12;0,000000
11;0,000000
10;0,000000
9;0,000000
8;1,091000
7;1,916000
6;1,009000
5;0,420000
4;0,143000
3;0,037000
2;0,007000
1;0,001000
