share of cover;solving time
 0-0.1;0,003000
 0.1-0.2;0,097000
 0.2-0.3;1,234500
 0.3-0.4;6,030500
 0.4-0.5;15,114000
 0.5-0.6;22,749000
 0.6-0.7;24,903500
 0.7-0.8;0,006500
 0.8-0.9;0,001000
 0.9-1;0,001000
