share of cover;solving time
 0-0.1;0,037000
 0.1-0.2;1,396500
 0.2-0.3;34,095667
 0.3-0.4;211,410000
 0.4-0.5;595,782667
 0.5-0.6;908,187000
 0.6-0.7;1023,361000
 0.7-0.8;0,004000
 0.8-0.9;0,001000
 0.9-1;0,001500
