share of cover;solving time
 0-0.1;0,002000
 0.1-0.2;0,012000
 0.2-0.3;0,080500
 0.3-0.4;0,233000
 0.4-0.5;0,428500
 0.5-0.6;0,569000
 0.6-0.7;0,640500
 0.7-0.8;0,000000
 0.8-0.9;0,000000
 0.9-1;0,000000
