share of cover;solving time
 0-0.1;0,007500
 0.1-0.2;0,300000
 0.2-0.3;7,798333
 0.3-0.4;16,851500
 0.4-0.5;0,000333
 0.5-0.6;0,000500
 0.6-0.7;0,000333
 0.7-0.8;0,000000
 0.8-0.9;0,001000
 0.9-1;0,000500
