share of cover;solving time
 0-0.1;0,002000
 0.1-0.2;0,046500
 0.2-0.3;0,569500
 0.3-0.4;2,984500
 0.4-0.5;7,433500
 0.5-0.6;5,538500
 0.6-0.7;0,000000
 0.7-0.8;0,000500
 0.8-0.9;0,000000
 0.9-1;0,000000
