share of cover;solving time
 0-0.1;0,001000
 0.1-0.2;0,006000
 0.2-0.3;0,039500
 0.3-0.4;0,114000
 0.4-0.5;0,222500
 0.5-0.6;0,305000
 0.6-0.7;0,000000
 0.7-0.8;0,000000
 0.8-0.9;0,000500
 0.9-1;0,001000
