share of cover;solving time
 0-0.1;0,018500
 0.1-0.2;0,679000
 0.2-0.3;17,573333
 0.3-0.4;106,044000
 0.4-0.5;305,581000
 0.5-0.6;459,923000
 0.6-0.7;174,209333
 0.7-0.8;0,000500
 0.8-0.9;0,000667
 0.9-1;0,001000
