share of cover;solving time
 0-0.1;0,061500
 0.1-0.2;2,346000
 0.2-0.3;56,807333
 0.3-0.4;358,576000
 0.4-0.5;920,872000
 0.5-0.6;1376,724500
 0.6-0.7;1567,710000
 0.7-0.8;1590,965500
 0.8-0.9;0,004667
 0.9-1;0,002500
