K_cover;solving time
19;0,001000
18;0,001000
17;0,002000
16;0,001000
15;39,787000
14;41,758000
13;40,079000
12;38,954000
11;37,996000
10;33,480000
9;26,579000
8;19,994000
7;12,397000
6;6,900000
5;2,890000
4;1,026000
3;0,271000
2;0,051000
1;0,006000
