share of cover;solving time
 0-0.1;0,000000
 0.1-0.2;0,013500
 0.2-0.3;0,181000
 0.3-0.4;0,021000
 0.4-0.5;0,000000
 0.5-0.6;0,000000
 0.6-0.7;0,000000
 0.7-0.8;0,000000
 0.8-0.9;0,000000
 0.9-1;0,000500
