c;upstart;liniary coeff;success
1;1243175;2,434783; +
2;31017438;98082,650000; +
3;246025545;0,941176; +
4;288099813;100,785714; -
5;283541196;3631,416667; -
10;175267567;399,375000; -
15;52537839;9567447,714286; -
20;89726150;6,750000; -
25;66855972;6,750000; -
