c;upstart;liniary coeff;success
1;33320;0,500000; +
2;309735;2708,727273; +
3;211572;31271,500000; +
4;517328;695,900000; +
5;840118;2511,125000; +
10;1038487;3,200000; +
15;1048173;6,666667; +
