share of cover;solving time
 0-0.1;0,001000
 0.1-0.2;0,003000
 0.2-0.3;0,024500
 0.3-0.4;0,073000
 0.4-0.5;0,000500
 0.5-0.6;0,000000
 0.6-0.7;0,000000
 0.7-0.8;0,000000
 0.8-0.9;0,000000
 0.9-1;0,000000
