K_cover;solving time
19;0,001100
18;0,000700
17;5,672200
16;10,404700
15;19,118900
14;24,517600
13;23,623900
12;25,129000
11;24,148900
10;21,683600
9;19,279200
8;14,081100
7;8,878400
6;4,602700
5;2,067100
4;0,726500
3;0,191800
2;0,035100
1;0,004200
