K_cover;solving time
21;0,001000
20;0,001000
19;0,001000
18;0,001000
17;0,001000
16;0,011000
15;118,423000
14;117,174000
13;114,232000
12;107,369000
11;95,703000
10;78,631000
9;58,189000
8;37,888000
7;21,191000
6;9,967000
5;3,873000
4;1,189000
3;0,280000
2;0,048000
1;0,005000
